"Title","screens","firstDay","openingNote","firstWeekend","totalNetGross","ratings","firstWeek","budget","indiaGross","overseasGross","worldwideGross","allTimeRank","footfalls","adjustedNetGross","overseasFirstWeekend","worldwideFirstWeekend","overseasFirstWeek","worldwideFirstWeek","Release Date","Runtime","Genre"
"Raees","3400","20,29,00,000","Excellent","59,48,00,000","Total Nett Gross: 1,28,77,50,000","73.15% (149 Ratings)","1,02,00,00,000","1,27,00,00,000","--","$14,100,000","95,88,00,000",,"$6,860,000","--","$9,550,000","--","25 Jan 2017","143 min","Action"
"Dangal","4250","29,16,00,000","Excellent","1,04,53,00,000","Total Nett Gross: 3,74,50,00,000","71.73% (81 Ratings)","1,92,38,00,000","1,32,00,00,000","--","$30,700,000","2,07,22,50,000",,"$7,950,000","--","$15,460,000","--","23 Dec 2016","161 min","Drama"
"Bajrangi Bhaijaan","4100","26,67,00,000","Excellent","1,01,42,00,000","Total Nett Gross: 3,15,49,00,000","68.80% (551 Ratings)","1,83,52,00,000","1,25,00,00,000","4,22,13,00,000","$28,640,000","6,03,99,40,000","8","$8,120,000","1,87,24,20,000","$13,200,000","3,33,39,00,000","17 Jul 2015","159 min","Masala"
"Dhoom 3","3650","32,48,00,000","Bumper","97,25,00,000","Total Nett Gross: 2,60,63,00,000","39.41% (236 Ratings)","1,73,12,00,000","1,75,00,00,000","3,48,73,00,000","$30,830,000","5,39,87,60,000","10","$10,320,000","1,94,29,90,000","$16,830,000","3,36,32,68,000","20 Dec 2013","172 min","Action"
"PK","3600","25,45,00,000","Excellent","93,82,00,000","Total Nett Gross: 3,37,72,50,000","64.13% (322 Ratings)","1,81,26,00,000","1,35,00,00,000","4,48,74,00,000","$46,520,000","7,42,97,90,000","7","$7,840,000","1,75,77,80,000","$13,750,000","3,30,75,87,500","19 Dec 2014","153 min","Drama"
"Mere Dad Ki Maruti","825","88,00,000",,"3,78,00,000","Total Nett Gross: 10,54,50,000","60.00% (1 Ratings)","6,64,00,000","11,00,00,000","14,13,00,000","$150,000","14,94,00,000","505","$85,000","5,52,42,000","$125,000","9,57,26,000","15 Mar 2013","102 min","Comedy"
"Table No. 21","850","1,52,00,000",,"5,76,00,000","Total Nett Gross: 11,96,50,000","56.25% (4 Ratings)","9,36,00,000","8,50,00,000","16,42,00,000","$250,000","17,79,50,000","500","$150,000","8,71,62,000","$210,000","13,97,82,000","4 Jan 2013","109 min","Thriller"
"Zanjeer","2050","2,84,00,000",,"8,65,00,000","Total Nett Gross: 13,07,00,000","0.00% (1 Ratings)","12,72,00,000","60,00,00,000","17,89,00,000","$650,000","22,14,75,000","1191","$470,000","14,92,90,000","$560,000","21,09,44,000","6 Sep 2013","137 min","Action"
"Gori Tere Pyaar Mein","1400","2,57,00,000",,"9,06,00,000","Total Nett Gross: 14,01,75,000","50.00% (8 Ratings)","12,53,00,000","45,00,00,000","19,01,00,000","$1,930,000","31,12,07,500","1212","$940,000","18,22,01,000","$1,460,000","26,20,23,000","22 Nov 2013","145 min","Rom - Com"
"Vishwaroop","1100","1,89,00,000",,"7,64,00,000","Total Nett Gross: 13,10,50,000","70.00% (1 Ratings)","11,53,00,000","--","17,94,00,000","$---","17,94,00,000","913","$---","10,46,68,000","$---","15,79,61,000","1 Feb 2013","149 min","Thriller"
"The Attacks Of 26/11","1250","2,03,00,000",,"7,46,00,000","Total Nett Gross: 15,42,00,000","40.00% (1 Ratings)","12,27,00,000","23,00,00,000","21,19,00,000","$430,000","23,52,27,500","877","$265,000","11,65,78,250","$350,000","18,70,86,500","1 Mar 2013","119 min","Thriller"
